External ID,Name,Is a Company,Industry,Website,Phone,Email,Tags
school_esiea-ingenieures-dun-numerique-utile-la_1,"ESIEA, ingénieur·e·s d’un numérique utile - Laval",True,Education,https://bit.ly/3Rw2Dsy?utm_source=diplomeos,0182392500,admissions@esiea.fr,École d'ingénieurs
school_efrei-ecole-dingenieur-informatique-et-t_2,Efrei - Ecole d'ingénieur - Informatique et technologies du numérique - Paris,True,Education,,33188289001,admissions@efrei.fr,École d'ingénieurs
school_ecole-dingenieurs-de-purpan_3,École d’Ingénieurs de PURPAN,True,Education,,33561153030,communication@purpan.fr,École d'ingénieurs
school_ieseg-school-of-management-lille_4,IESEG School of Management Lille,True,Education,,33320545892,ieseg@ieseg.fr,École de gestion et de commerce
school_ieseg-school-of-management-paris_5,IESEG School of Management Paris,True,Education,https://www.ieseg.fr/?utm_source=PartDiplomeo20240314Ecole&utm_medium=FicheEcole&utm_campaign=RFrance?utm_source=diplomeos,33320545892,ieseg@ieseg.fr,École de gestion et de commerce
school_clermont-school-of-business_6,Clermont School of Business,True,Education,https://www.clermont-sb.fr/?utm_source=diplomeos,33473982424,info@esc-clermont.fr,École de gestion et de commerce
school_afip-formations_7,AFIP Formations,True,Education,,33478378181,contact@afip-formations.com,École spécialisée
school_lecole-multimedia_8,L'École Multimédia,True,Education,,33142785101,service.communication@ecole-multimedia.com,École de l'internet
school_mbs-education_9,MBS EDUCATION,True,Education,,33140500202,admission@mbseducation.fr,Centre de formation d'apprentis
school_aurlom-bts-_10,Aurlom BTS +,True,Education,https://www.aurlom.com/bts.html?utm_source=diplomeos,33140411238,aurlombtsplus@gmail.com,École de gestion et de commerce
school_h3-campus-paris_11,H3 Campus Paris,True,Education,https://h3campus.fr/?utm_source=diplomeos,33142800049,contact@h3campus.fr,École de gestion et de commerce
school_antemed-epsilon_12,Antemed Epsilon,True,Education,https://www.antemed-epsiloon.fr?utm_source=diplomeos,33148071717,paris@supexam.fr,Classes préparatoires aux concours
school_epf-paris-cachan_13,EPF - Paris Cachan,True,Education,https://www.epf.fr/?utm_source=diplomeo&utm_medium=page_ecole&utm_campaign=2425_Ref?utm_source=diplomeos,33141130151,communication@epf.fr,École d'ingénieurs
school_garti-ecole-superieure-de-graphisme_14,GARTI - École Supérieure de Graphisme,True,Education,,33175611000,garti@ecolegarti.com,"Design, Graphisme, 3D, Vidéo, Mode"
school_digital-school-of-paris_15,Digital School of Paris,True,Education,https://www.digitalschool.paris/?utm_source=diplomeos,33173433000,contact@digitalschool.pariss,École de l'internet
school_ynov-3d-animation-jeux-video-paris-ouest_16,"Ynov 3D, Animation & Jeux Vidéo - Paris Ouest",True,Education,https://www.ynov.com/campus/paris/?utm_source=diplomeos,0148070702,contact-paris@ynov.com,"Design, Graphisme, 3D, Vidéo, Mode"
school_esiea-ingenieures-dun-numerique-utile-pa_17,"ESIEA, ingénieur·e·s d’un numérique utile - Paris / Ivry-sur-Seine",True,Education,https://bit.ly/3yZzJd5?utm_source=diplomeos,0182392500,admissions@esiea.fr,École d'ingénieurs
school_digital-college-paris-la-defense_18,Digital College - Paris La Défense,True,Education,https://digital-college.fr?utm_source=diplomeos,33155230804,contact@digital-college.fr,École de l'internet
school_301_19,301,True,Education,https://www.301-digital.com/?utm_source=diplomeos,33299148088,contact@301-digital.com,École de l'internet
school_iriig_20,IRIIG,True,Education,https://www.iriig.com/?utm_source=diplomeos,0484350526,contact@iriig.com,École de gestion et de commerce
school_dsti-school-of-engineering-paris_21,DSTI School of Engineering - Paris,True,Education,https://dsti.school?utm_source=diplomeos,33489412944,contact@dsti.institutes,École d'ingénierie informatique
school_dsti-school-of-engineering-nice-sophia-a_22,DSTI School of Engineering - Nice - Sophia-Antipolis,True,Education,https://dsti.school?utm_source=diplomeos,33489412944,contact@dsti.institutes,École d'ingénierie informatique
school_european-school-of-cybersecurity_23,European School of Cybersecurity,True,Education,https://www.esc-cybersecurity.com/?utm_source=diplomeos,0469960065,contact@esc-cybersecurity.com,École d'ingénierie informatique
school_ynov-architecture-dinterieur-paris-ouest_24,Ynov Architecture  d’intérieur  -  Paris Ouest,True,Education,https://www.ynov.com/metier/architecte-interieur-designer-espace/?utm_source=diplomeos,0148070702,contact-paris@ynov.com,École d'architecture
school_ynov-tech-business-paris-ouest_25,Ynov Tech & Business -  Paris Ouest,True,Education,https://www.ynov.com/formation/ynov-web-management/?utm_source=diplomeos,0148070702,contact-paris@ynov.com,École de l'internet
school_fms-lecole-de-commerce-du-food-business-_26,FMS - L’école de commerce du Food Business - Paris,True,Education,https://food-management-school.com/?utm_source=Diplomeo&utm_medium=mini+site+FMS+sur+diplomeo&utm_campaign=Site+FMS+diplomeo&utm_content=bouton+site+fms?utm_source=diplomeos,0184831470,admission@fms-school.com,École de gestion et de commerce
school_difcam-ile-de-france_27,DIFCAM Ile-de-France,True,Education,https://implantation.difcam.com/14-cfa-difcam-ile-de-france?utm_source=diplomeos,33149534323,idf@difcam.com,Centre de formation d'apprentis
school_iffp-institut-francais-de-formation-prof_28,IFFP - Institut Français de Formation Professionnelle,True,Education,https://iffp.pro/?utm_source=diplomeos,0180884455,contact@iffp.pros,Centre de formation professionnelle
school_purple-campus-ales_29,Purple Campus - Alès,True,Education,https://purple-campus.com?utm_source=diplomeos,33466912121,ales@purple-campus.com,Centre de formation d'apprentis
school_purple-campus-nimes_30,Purple Campus - Nîmes,True,Education,https://purple-campus.com?utm_source=diplomeos,33466879759,marguerittes@purple-campus.com,Centre de formation d'apprentis
school_purple-campus-carcassonne_31,Purple Campus - Carcassonne,True,Education,https://purple-campus.com?utm_source=diplomeos,0468713876,carcassonne@purple-campus.com,Centre de formation d'apprentis
school_purple-campus-narbonne_32,Purple Campus - Narbonne,True,Education,https://purple-campus.com?utm_source=diplomeos,33468441802,narbonne@purple-campus.com,Centre de formation d'apprentis
school_smbs-lecole-de-commerce-de-la-sante-pari_33,SMBS - L'école de commerce de la santé - Paris,True,Education,https://sante-management-school.com/?utm_source=diplomeos,33184831471,smbs@smbs-school.com,École de gestion et de commerce
school_ecole-de-management-de-normandie-paris_34,Ecole de Management de Normandie - Paris,True,Education,https://www.em-normandie.com/?utm_source=site_referencement&utm_medium=site_lien&utm_campaign=diplomeo?utm_source=diplomeos,33175000076,admissions@em-normandie.fr,École de gestion et de commerce
school_ecole-de-management-de-normandie-caen_35,Ecole de Management de Normandie - Caen,True,Education,https://www.em-normandie.com/?utm_source=site_referencement&utm_medium=site_lien&utm_campaign=diplomeo?utm_source=diplomeos,330231467878,admissions@em-normandie.fr,École de gestion et de commerce
school_creapole-esdi_36,CREAPOLE ESDI,True,Education,https://www.creapole.fr?utm_source=diplomeos,33144882020,admi@creapole.fr,"Design, Graphisme, 3D, Vidéo, Mode"
school_ifag-institut-de-formation-aux-affaires-_37,IFAG - Institut de formation aux affaires et à la gestion - Auxerre,True,Education,https://www.ifag.com/campus/auxerre?utm_source=diplomeos,33608777568,recrutement.es@pole-formation.net,École de gestion et de commerce
school_cfa-cerfal_38,CFA CERFAL,True,Education,,33140522870,contact@cerfal.fr,Centre de formation d'apprentis
school_sup-de-vinci-paris_39,SUP DE VINCI - Paris,True,Education,https://www.supdevinci.fr/?utm_source=diplomeos,33141167280,contact@supdevinci.fr,École d'ingénierie informatique
school_isipca_40,ISIPCA,True,Education,,33139237000,info@isipca.fr,Centre de formation d'apprentis
school_epmt-ecole-de-paris-des-metiers-de-la-ta_41,EPMT - École de Paris des Métiers de la Table,True,Education,,33144091200,inscription@epmt.fr,Centre de formation d'apprentis
school_faculte-des-metiers-rennes_42,Faculté Des Métiers - Rennes,True,Education,https://www.fac-metiers.fr/?utm_source=diplomeos,33299054545,mathilde.friquet@fac-metiers.fr,Centre de formation d'apprentis
school_espas_43,ESPAS,True,Education,https://ecole-espas.fr/?utm_source=partenaires&utm_medium=résultatsderecherchenaturels&utm_campaign=diplomeo?utm_source=diplomeos,0320549090,espas@univ-catholille.fr,École de gestion et de commerce
