id,name,is_company,company_type,customer_rank,supplier_rank,type,email,phone,mobile,website,street,city,zip,country_id,function,title,parent_id,user_id,team_id,industry_id,comment,tag_ids,vat,ref,lang,date
school_ecole_superieure_des_professions_immobilieres_espi_marseille_marseille_at_groupe-espi_fr,Ecole Supérieure des Professions Immobilières - ESPI Marseille,true,company,1,0,contact,marseille@groupe-espi.fr,33496133400,,https://groupe-espi.fr/campus/espi-marseille/?utm_source=diplomeos,,Marseille 2e,,France,,,,,,École des métiers de l'immobilier,,"École,Diplomeo",,https://diplomeo.com/etablissement-ecole_superieure_des_professions_immobilieres_espi_marseille-9369,fr_FR,2025-03-20
school_ecole_superieure_des_professions_immobilieres_espi_nantes_nantes_at_groupe-espi_fr,Ecole Supérieure des Professions Immobilières - ESPI Nantes,true,company,1,0,contact,nantes@groupe-espi.fr,33240498746,,https://groupe-espi.fr/campus/espi-nantes/?utm_source=diplomeos,,Nantes,,France,,,,,,École des métiers de l'immobilier,,"École,Diplomeo",,https://diplomeo.com/etablissement-ecole_superieure_des_professions_immobilieres_espi_nantes-9370,fr_FR,2025-03-20
school_ecole_superieure_des_professions_immobilieres_espi_bordeaux_bordeaux_at_groupe-espi_fr,Ecole Supérieure des Professions Immobilières - ESPI Bordeaux,true,company,1,0,contact,bordeaux@groupe-espi.fr,0564310490,,https://groupe-espi.fr/?utm_source=diplomeos,,Bordeaux,,France,,,,,,École des métiers de l'immobilier,,"École,Diplomeo",,https://diplomeo.com/etablissement-ecole_superieure_des_professions_immobilieres_espi_bordeaux-10140,fr_FR,2025-03-20
school_ecole_superieure_des_professions_immobilieres_espi_lyon_lyon_at_groupe-espi_fr,Ecole Supérieure des Professions Immobilières - ESPI Lyon,true,company,1,0,contact,lyon@groupe-espi.fr,0481132800,,https://groupe-espi.fr/?utm_source=diplomeos,,Lyon 9e,,France,,,,,,École des métiers de l'immobilier,,"École,Diplomeo",,https://diplomeo.com/etablissement-ecole_superieure_des_professions_immobilieres_espi_lyon-10141,fr_FR,2025-03-20
school_efab_grenoble_grenoble_at_efab_fr,EFAB - GRENOBLE,true,company,1,0,contact,grenoble@efab.fr,33476469059,,https://www.efab.fr/campus/campus-grenoble/?utm_source=diplomeos,,Grenoble,,France,,,,,,École des métiers de l'immobilier,,"École,Diplomeo",,https://diplomeo.com/etablissement-efab_grenoble-11722,fr_FR,2025-03-20
school_efab_immobilier_lille_lille_at_efab_fr,EFAB  IMMOBILIER - LILLE,true,company,1,0,contact,lille@efab.fr,3320060289,,https://www.efab.fr/campus/campus-lille/?utm_source=diplomeos,,Lille,,France,,,,,,École des métiers de l'immobilier,,"École,Diplomeo",,https://diplomeo.com/etablissement-efab_immobilier_lille-11723,fr_FR,2025-03-20
school_efab_immobilier_lyon_lyon_at_efab_fr,EFAB IMMOBILIER - LYON,true,company,1,0,contact,lyon@efab.fr,33426290106,,https://www.efab.fr/campus/campus-lyon/?utm_source=diplomeos,,Lyon,,France,,,,,,École des métiers de l'immobilier,,"École,Diplomeo",,https://diplomeo.com/etablissement-efab_immobilier_lyon-11724,fr_FR,2025-03-20
school_efab_immobilier_paris_paris_at_efab_fr,EFAB  IMMOBILIER - PARIS,true,company,1,0,contact,paris@efab.fr,33141171212,,https://www.efab.fr/campus/campus-paris/?utm_source=diplomeos,,Paris,,France,,,,,,École des métiers de l'immobilier,,"École,Diplomeo",,https://diplomeo.com/etablissement-efab_immobilier_paris-11725,fr_FR,2025-03-20
school_efab_immobilier_aix_en_provence_aix_at_efab_fr,EFAB IMMOBILIER - AIX-EN-PROVENCE,true,company,1,0,contact,aix@efab.fr,0442646200,,https://www.efab.fr/campus/campus-aix/?utm_source=diplomeos,,Aix-en-Provence,,France,,,,,,École des métiers de l'immobilier,,"École,Diplomeo",,https://diplomeo.com/etablissement-efab_immobilier_aix_en_provence-11743,fr_FR,2025-03-20
school_efab_immobilier_reims_reims_at_efab_fr,EFAB  IMMOBILIER - REIMS,true,company,1,0,contact,reims@efab.fr,33616136593,,https://www.efab.fr/campus/campus-reims/?utm_source=diplomeos,,Reims,,France,,,,,,École des métiers de l'immobilier,,"École,Diplomeo",,https://diplomeo.com/etablissement-efab_immobilier_reims-11744,fr_FR,2025-03-20
